"","lat","numspp","disparity"
"1",0,46,0.00367000138312466
"2",1,51,0.00364354162750401
"3",2,52,0.00362510809396863
"4",3,49,0.00366967158149396
"5",4,51,0.00364354162750401
"6",5,55,0.00358267474792459
"7",6,48,0.00370348817527438
"8",7,62,0.00355843615692143
"9",8,56,0.00367863238641471
"10",9,56,0.00367863238641471
"11",10,65,0.00368976159030743
"12",11,61,0.0035741774371708
"13",12,67,0.00400359537633655
"14",13,55,0.00358267474792459
"15",14,54,0.00360733525815114
"16",15,61,0.0035741774371708
"17",16,65,0.00368976159030743
"18",17,53,0.00359246398221938
"19",18,71,0.00463399102501673
"20",19,68,0.00410465896834639
"21",20,72,0.00517539498668723
"22",21,68,0.00410465896834639
"23",22,61,0.0035741774371708
"24",23,64,0.00357487828906822
"25",24,69,0.00422295012348502
"26",25,54,0.00360733525815114
"27",26,64,0.00357487828906822
"28",27,60,0.00360609941712572
"29",28,49,0.00366967158149396
"30",29,54,0.00360733525815114
"31",30,34,0.00380852519075604
"32",31,38,0.0038293091840371
"33",32,19,0.00425089684328642
"34",33,23,0.00394414852877091
"35",34,22,0.00394213750641134
"36",35,14,0.0045529257349598
"37",36,13,0.00467042099416959
"38",NA,NA,NA
"39",NA,NA,NA
"40",NA,NA,NA
"41",40,2,0.000512988699654069
