"","lat","numspp","disparity"
"1",0,21,0.00383786292847252
"2",1,27,0.00391168022641334
"3",2,29,0.00399959102820549
"4",3,24,0.00406515005658836
"5",4,29,0.00399959102820549
"6",5,28,0.00387101854414177
"7",6,30,0.00400097324666595
"8",7,38,0.00413142473108386
"9",8,26,0.0039393339656889
"10",9,29,0.00399959102820549
"11",10,35,0.00421102589074996
"12",11,31,0.003944943764414
"13",12,36,0.0041540694663618
"14",13,30,0.00400097324666595
"15",14,33,0.0040932166003926
"16",15,31,0.003944943764414
"17",16,30,0.00400097324666595
"18",17,30,0.00400097324666595
"19",18,35,0.00421102589074996
"20",19,35,0.00421102589074996
"21",20,35,0.00421102589074996
"22",21,36,0.0041540694663618
"23",22,38,0.00413142473108386
"24",23,32,0.00400710685513901
"25",24,38,0.00413142473108386
"26",25,27,0.00391168022641334
"27",26,33,0.0040932166003926
"28",27,29,0.00399959102820549
"29",28,25,0.0040053406582581
"30",29,23,0.00386789737494897
"31",30,17,0.00389690716410147
"32",31,10,0.00444300809277293
"33",32,5,0.00400053610745798
"34",33,5,0.00400053610745798
"35",34,7,0.00361452749694786
"36",NA,NA,NA
"37",36,5,0.00400053610745798
