"","lat","numspp","disparity"
"1",0,64,0.0060929075657279
"2",1,90,0.00682986681127757
"3",2,70,0.00632501616551231
"4",3,75,0.00643973170803042
"5",4,88,0.00648106341079057
"6",5,84,0.00657346835754032
"7",6,79,0.0064793246631018
"8",7,98,0.00710982599860753
"9",8,77,0.00644602396134124
"10",9,93,0.00717056065568927
"11",10,94,0.00716940311578501
"12",11,76,0.0064304475599628
"13",12,103,0.00699269378390768
"14",13,90,0.00682986681127757
"15",14,83,0.00660619371275152
"16",15,81,0.00663989396910807
"17",16,85,0.00654408974839936
"18",17,78,0.00645550931792379
"19",18,87,0.0064772244372279
"20",19,85,0.00654408974839936
"21",20,88,0.00648106341079057
"22",21,85,0.00654408974839936
"23",22,92,0.00710725369253954
"24",23,79,0.0064793246631018
"25",24,97,0.00712670365156122
"26",25,66,0.00600200584241898
"27",26,82,0.00665611541378504
"28",27,66,0.00600200584241898
"29",28,62,0.00597384030766324
"30",29,68,0.00641908635968356
"31",30,46,0.00632362463950267
"32",31,35,0.00581364051121406
"33",32,18,0.0038738337139063
"34",33,23,0.00548050739832951
"35",34,20,0.00380276627633814
"36",35,15,0.00401778385416459
"37",36,43,0.00618906288003036
"38",37,8,0.00485253922359936
"39",38,9,0.00480685582340261
"40",39,12,0.00448923048839561
"41",40,10,0.00450816872834801
"42",41,9,0.00480685582340261
"43",42,7,0.00476805907331115
"44",43,8,0.00485253922359936
"45",44,6,0.00491116050476707
"46",45,6,0.00491116050476707
"47",46,4,0.00336503963199462
"48",47,3,0.00280216652154848
"49",48,3,0.00280216652154848
"50",49,3,0.00280216652154848
"51",50,3,0.00280216652154848
"52",51,3,0.00280216652154848
"53",52,3,0.00280216652154848
"54",53,3,0.00280216652154848
"55",54,3,0.00280216652154848
"56",55,3,0.00280216652154848
"57",56,3,0.00280216652154848
"58",57,3,0.00280216652154848
"59",58,3,0.00280216652154848
"60",59,3,0.00280216652154848
"61",60,3,0.00280216652154848
"62",NA,NA,NA
"63",62,2,0.00137314764965695
"64",63,3,0.00280216652154848
