"","lat","numspp","disparity"
"1",0,95,0.00633908126076829
"2",1,97,0.00651468154003577
"3",2,76,0.00620667440131499
"4",3,92,0.00628210897125608
"5",4,98,0.00650577631322772
"6",5,110,0.00646725441021738
"7",6,97,0.00651468154003577
"8",7,109,0.00649621373933644
"9",8,97,0.00651468154003577
"10",9,107,0.00639399405800177
"11",10,118,0.00668290127539731
"12",11,107,0.00639399405800177
"13",12,113,0.00654477573449318
"14",13,108,0.00641027542079663
"15",14,106,0.00641361497025607
"16",15,112,0.0065308505111614
"17",16,117,0.00668870033882461
"18",17,107,0.00639399405800177
"19",18,117,0.00668870033882461
"20",19,113,0.00654477573449318
"21",20,117,0.00668870033882461
"22",21,118,0.00668290127539731
"23",22,112,0.0065308505111614
"24",23,106,0.00641361497025607
"25",24,115,0.00668749153699214
"26",25,87,0.00627835506458665
"27",26,109,0.00649621373933644
"28",27,100,0.00648576451845617
"29",28,88,0.0062723112896294
"30",29,91,0.00626582385847489
"31",30,73,0.00634645725831463
"32",31,63,0.0068496796053817
"33",32,42,0.00636700711930108
"34",33,44,0.00662218294014874
"35",34,30,0.00647484563198131
"36",35,23,0.00682560093430463
"37",36,36,0.00604399876335111
"38",37,13,0.0053040205473147
"39",38,12,0.00533784169722766
"40",39,15,0.00524496105912099
"41",40,14,0.00530536130573028
"42",41,10,0.00554021294245836
"43",42,12,0.00533784169722766
"44",43,12,0.00533784169722766
"45",44,8,0.00435144925032861
"46",45,9,0.00542987760649832
"47",46,8,0.00435144925032861
"48",47,7,0.00348207654421453
"49",48,7,0.00348207654421453
"50",49,7,0.00348207654421453
"51",50,7,0.00348207654421453
"52",51,7,0.00348207654421453
"53",52,5,0.00175749941665298
"54",53,6,0.00164335958759811
"55",54,6,0.00164335958759811
"56",55,6,0.00164335958759811
"57",56,5,0.00175749941665298
"58",57,5,0.00175749941665298
"59",58,5,0.00175749941665298
"60",59,5,0.00175749941665298
"61",60,5,0.00175749941665298
"62",61,5,0.00175749941665298
"63",62,5,0.00175749941665298
"64",63,4,0.00194977117282636
"65",NA,NA,NA
"66",NA,NA,NA
"67",NA,NA,NA
"68",67,2,0.000441076228617581
