"","lat","numspp","disparity"
"1",0,41,0.00338526002407464
"2",1,40,0.00339419510511475
"3",2,45,0.0033209784432159
"4",3,43,0.00326737984458016
"5",4,50,0.00344425067118294
"6",5,49,0.0034484943217697
"7",6,47,0.00345212880199628
"8",7,48,0.00341973242352439
"9",8,47,0.00345212880199628
"10",9,51,0.00342362392645096
"11",10,53,0.00344448587715548
"12",11,51,0.00342362392645096
"13",12,53,0.00344448587715548
"14",13,54,0.00346956346874367
"15",14,49,0.0034484943217697
"16",15,52,0.00344667879498904
"17",16,52,0.00344667879498904
"18",17,49,0.0034484943217697
"19",18,54,0.00346956346874367
"20",19,50,0.00344425067118294
"21",20,53,0.00344448587715548
"22",21,53,0.00344448587715548
"23",22,52,0.00344667879498904
"24",23,50,0.00344425067118294
"25",24,51,0.00342362392645096
"26",25,49,0.0034484943217697
"27",26,50,0.00344425067118294
"28",27,45,0.0033209784432159
"29",28,43,0.00326737984458016
"30",29,45,0.0033209784432159
"31",30,37,0.00338697195074808
"32",31,26,0.00386823410749828
"33",32,21,0.00386052385758549
"34",33,23,0.00405049670545283
"35",34,20,0.00384472019295274
"36",35,9,0.00415880079628425
"37",36,5,0.00366230318076211
"38",37,6,0.0044570653287272
"39",38,3,0.00129343127206012
"40",39,5,0.00366230318076211
"41",40,9,0.00415880079628425
"42",41,6,0.0044570653287272
