"","lat","numspp","disparity"
"1",NA,NA,NA
"2",NA,NA,NA
"3",NA,NA,NA
"4",NA,NA,NA
"5",NA,NA,NA
"6",NA,NA,NA
"7",NA,NA,NA
"8",NA,NA,NA
"9",NA,NA,NA
"10",NA,NA,NA
"11",NA,NA,NA
"12",NA,NA,NA
"13",NA,NA,NA
"14",NA,NA,NA
"15",NA,NA,NA
"16",NA,NA,NA
"17",NA,NA,NA
"18",NA,NA,NA
"19",NA,NA,NA
"20",19,4,0.0118114688990041
"21",NA,NA,NA
"22",21,5,0.012447608426407
"23",22,5,0.012447608426407
"24",23,3,0.00617058595612586
"25",24,4,0.0118114688990041
"26",25,7,0.0126184610866762
"27",26,4,0.0118114688990041
"28",27,2,0.00167899006330956
"29",28,5,0.012447608426407
"30",29,3,0.00617058595612586
"31",30,6,0.0126773227255269
"32",31,10,0.0109028649287001
"33",32,14,0.0120854643655807
"34",33,17,0.0119144577494819
"35",34,23,0.0122701861364197
"36",35,23,0.0122701861364197
"37",36,31,0.0120216248996777
"38",37,31,0.0120216248996777
"39",38,29,0.0122385491288922
"40",39,27,0.0120939897464671
"41",40,28,0.0120112946180557
"42",41,27,0.0120939897464671
"43",42,27,0.0120939897464671
"44",43,26,0.0118969213947055
"45",44,29,0.0122385491288922
"46",45,29,0.0122385491288922
"47",46,29,0.0122385491288922
"48",47,27,0.0120939897464671
"49",48,26,0.0118969213947055
"50",49,27,0.0120939897464671
"51",50,30,0.0122157576484255
"52",51,27,0.0120939897464671
"53",52,30,0.0122157576484255
"54",53,27,0.0120939897464671
"55",54,28,0.0120112946180557
"56",55,28,0.0120112946180557
"57",56,27,0.0120939897464671
"58",57,31,0.0120216248996777
"59",58,31,0.0120216248996777
"60",59,27,0.0120939897464671
"61",60,24,0.0122049572773289
"62",61,19,0.0121745970682593
"63",62,14,0.0120854643655807
"64",63,13,0.0105646738627639
"65",64,12,0.0108992946906617
"66",65,11,0.0109317064979676
"67",66,12,0.0108992946906617
"68",67,11,0.0109317064979676
"69",68,11,0.0109317064979676
"70",69,10,0.0109028649287001
"71",70,9,0.0117168118292973
"72",71,9,0.0117168118292973
"73",72,5,0.012447608426407
"74",73,3,0.00617058595612586
"75",74,2,0.00167899006330956
"76",75,4,0.0118114688990041
"77",76,2,0.00167899006330956
