"","lat","numspp","disparity"
"1",0,102,0.00466833436068391
"2",1,107,0.00473685621989195
"3",2,104,0.00465251377605012
"4",3,104,0.00465251377605012
"5",4,113,0.00481089367229567
"6",5,122,0.00487015036773478
"7",6,112,0.00481367997655834
"8",7,122,0.00487015036773478
"9",8,107,0.00473685621989195
"10",9,118,0.00491726128151375
"11",10,132,0.0047480099044048
"12",11,120,0.00488113729728641
"13",12,133,0.00472903551826207
"14",13,126,0.00480341485996422
"15",14,119,0.00489498508670419
"16",15,123,0.00486823968123159
"17",16,136,0.00472216878568459
"18",17,122,0.00487015036773478
"19",18,140,0.00467267077725369
"20",19,130,0.00475330771407768
"21",20,129,0.00477000278824261
"22",21,130,0.00475330771407768
"23",22,118,0.00491726128151375
"24",23,112,0.00481367997655834
"25",24,108,0.00472098371903068
"26",25,83,0.0044306662021274
"27",26,105,0.00477525632015526
"28",27,87,0.0043851761288932
"29",28,75,0.00443453880515711
"30",29,77,0.00440039757648852
"31",30,45,0.00442710506989715
"32",31,33,0.00346837171653408
"33",32,16,0.00193539331392425
"34",33,21,0.00257942305005278
"35",34,24,0.00291539770620668
"36",35,6,0.00107533931799354
"37",36,17,0.00214497794042592
"38",37,3,0.000820382254294194
"39",NA,NA,NA
"40",39,3,0.000820382254294194
"41",40,2,0.000470037916763016
