"","lat","numspp","disparity"
"1",0,15,0.00421881808552683
"2",1,12,0.00383223036571779
"3",2,14,0.00403359501456683
"4",3,15,0.00421881808552683
"5",4,15,0.00421881808552683
"6",5,16,0.00420850231702157
"7",6,16,0.00420850231702157
"8",7,15,0.00421881808552683
"9",8,18,0.00422917250422765
"10",9,15,0.00421881808552683
"11",10,17,0.00424944329914837
"12",11,23,0.00518172305905308
"13",12,22,0.00530173470109004
"14",13,15,0.00421881808552683
"15",14,19,0.00509779970648191
"16",15,23,0.00518172305905308
"17",16,22,0.00530173470109004
"18",17,18,0.00422917250422765
"19",18,29,0.00518100354615671
"20",19,25,0.00531730222825539
"21",20,33,0.00517298360062597
"22",21,22,0.00530173470109004
"23",22,26,0.00521249282169304
"24",23,23,0.00518172305905308
"25",24,30,0.005143928514049
"26",25,36,0.00525165650513763
"27",26,24,0.00520959184829571
"28",27,31,0.00526668911595741
"29",28,36,0.00525165650513763
"30",29,31,0.00526668911595741
"31",30,20,0.00508141905895978
"32",31,29,0.00518100354615671
"33",32,31,0.00526668911595741
"34",33,33,0.00517298360062597
"35",34,30,0.005143928514049
"36",35,27,0.0051898735529968
"37",36,27,0.0051898735529968
"38",37,23,0.00518172305905308
"39",38,21,0.00514742904396768
"40",39,23,0.00518172305905308
"41",40,22,0.00530173470109004
"42",41,20,0.00508141905895978
"43",42,16,0.00420850231702157
"44",43,18,0.00422917250422765
"45",44,13,0.00375161903157341
"46",45,15,0.00421881808552683
"47",46,12,0.00383223036571779
"48",47,6,0.00233132973749983
"49",48,4,0.00238606879277101
"50",49,5,0.00207967013300395
"51",50,4,0.00238606879277101
"52",51,6,0.00233132973749983
"53",52,4,0.00238606879277101
"54",53,5,0.00207967013300395
"55",54,4,0.00238606879277101
"56",55,4,0.00238606879277101
"57",56,3,0.00276066623250084
"58",57,4,0.00238606879277101
"59",58,3,0.00276066623250084
"60",59,2,0.000506860849948474
"61",60,2,0.000506860849948474
"62",NA,NA,NA
"63",62,2,0.000506860849948474
