"","lats","mean","lowe","highe","sd","disp"
"1",40,0.00276546325199561,-0.000530963306464733,0.00606188981045595,0.00237853918904305,0.000512988699654069
"2",39,0,0,0,0,0
"3",38,0,0,0,0,0
"4",37,0,0,0,0,0
"5",36,0.00501544734315625,0.00430652967117089,0.00572436501514161,0.00130412550260489,0.00467042099416959
"6",35,0.00504226703561858,0.00438204366071022,0.00570249041052694,0.00126039543947354,0.0045529257349598
"7",34,0.00514511327931037,0.00473526583149924,0.0055549607271215,0.000980811353422829,0.00394213750641134
"8",33,0.00519256100289816,0.0047919435610372,0.00559317844475912,0.000980269929254112,0.00394414852877091
"9",32,0.00515678612298717,0.00467752021349965,0.00563605203247469,0.00106587247674883,0.00425089684328642
"10",31,0.00524667496240247,0.00504251935170581,0.00545083057309912,0.000642103485211991,0.0038293091840371
"11",30,0.00524001042922627,0.00499475877783118,0.00548526208062135,0.000729631050721432,0.00380852519075604
"12",29,0.00532638105237808,0.00520538422657319,0.00544737787818296,0.000453651933488865,0.00360733525815114
"13",28,0.00532005722467666,0.0051802469090836,0.00545986754026972,0.000499331731027231,0.00366967158149396
"14",27,0.00535297592518179,0.00525887017945052,0.00544708167091305,0.000371914983004283,0.00360609941712572
"15",26,0.0053271828829891,0.00524792603173683,0.00540643973424137,0.000323503296499067,0.00357487828906822
"16",25,0.00531800784785055,0.00519991921232564,0.00543609648337545,0.000442748290895861,0.00360733525815114
"17",24,0.00534717715508867,0.0052822214689725,0.00541213284120484,0.000275292024027376,0.00422295012348502
"18",23,0.0053317477782737,0.00525129312084479,0.0054122024357026,0.000328392391139921,0.00357487828906822
"19",22,0.00535630410435566,0.00526562049905312,0.0054469877096582,0.000361364598794088,0.0035741774371708
"20",21,0.00536564482054126,0.00530138303655954,0.00542990660452299,0.000270370399800446,0.00410465896834639
"21",20,0.00535024102375437,0.00529546549323887,0.00540501655426986,0.000237139964057179,0.00517539498668723
"22",19,0.00534719968093807,0.00527921486723458,0.00541518449464156,0.000286034406803864,0.00410465896834639
"23",18,0.00535747712938543,0.00529881216467443,0.00541614209409642,0.000252208603317246,0.00463399102501673
"24",17,0.00532392874454807,0.00519836286365358,0.00544949462544256,0.000466403167847345,0.00359246398221938
"25",16,0.00535276895760643,0.00527724403950733,0.00542829387570554,0.000310669665839287,0.00368976159030743
"26",15,0.00532424936880552,0.00523198816866109,0.00541651056894994,0.000367651147781605,0.0035741774371708
"27",14,0.00533959389138909,0.00521899949947857,0.00546018828329961,0.000452143092962976,0.00360733525815114
"28",13,0.0053362386303556,0.00522328016152422,0.00544919709918698,0.000427417254735177,0.00358267474792459
"29",12,0.00534815662449302,0.00527832553589151,0.00541798771309454,0.000291633978560803,0.00400359537633655
"30",11,0.00533497991567873,0.00524482387954782,0.00542513595180965,0.000359262291310805,0.0035741774371708
"31",10,0.00535418195240416,0.00527900859388079,0.00542935531092753,0.000309223535228835,0.00368976159030743
"32",9,0.00532395259233787,0.00521602105590586,0.00543188412876987,0.000412092093265114,0.00367863238641471
"33",8,0.00534410268153724,0.00523801843650134,0.00545018692657314,0.000405038972338121,0.00367863238641471
"34",7,0.0053378822677433,0.00524932254048803,0.00542644199499857,0.00035578204254195,0.00355843615692143
"35",6,0.00530243783459403,0.00515559894137445,0.00544927672781362,0.000519055300178264,0.00370348817527438
"36",5,0.00533330631296485,0.00522167927164737,0.00544493335428234,0.000422379340369358,0.00358267474792459
"37",4,0.00529654174559839,0.0051672150992166,0.00542586839198017,0.000471221408313644,0.00364354162750401
"38",3,0.0052944036450982,0.00515132236411581,0.00543748492608058,0.000511013964938601,0.00366967158149396
"39",2,0.0053319159052007,0.00520335361101972,0.00546047819938169,0.000473006593403907,0.00362510809396863
"40",1,0.00529971654403421,0.00516592984099271,0.0054335032470757,0.000487472306633099,0.00364354162750401
"41",0,0.00532081036086179,0.00516855751877804,0.00547306320294554,0.000526861219913183,0.00367000138312466
